1 1 1 1 1 1 1 1 1 , Epoch:1, Support: 8225
1 1 4 , Epoch:7, Support: 27
1 3 3 3 3 3 3 , Epoch:3, Support: 55
1 3 3 3 3 3 3 3 , Epoch:2, Support: 55
1 4 1 , Epoch:7, Support: 27
1 4 4 , Epoch:7, Support: 27
1 4 4 4 , Epoch:6, Support: 27
3 1 1 1 1 1 1 , Epoch:3, Support: 55
3 1 1 1 1 1 3 , Epoch:3, Support: 55
3 1 1 1 1 3 1 , Epoch:3, Support: 55
3 1 1 1 1 3 3 , Epoch:3, Support: 55
3 1 1 1 3 1 1 , Epoch:3, Support: 55
3 1 1 1 3 3 3 , Epoch:3, Support: 55
3 1 1 3 1 1 1 , Epoch:3, Support: 55
3 1 1 3 1 1 3 , Epoch:3, Support: 55
3 1 1 3 3 3 3 , Epoch:3, Support: 55
3 1 3 1 1 1 1 , Epoch:3, Support: 55
3 1 3 1 1 1 3 , Epoch:3, Support: 55
3 1 3 1 1 3 1 , Epoch:3, Support: 55
3 1 3 1 1 3 3 , Epoch:3, Support: 55
3 1 3 1 3 1 1 , Epoch:3, Support: 55
3 1 3 1 3 1 3 , Epoch:3, Support: 55
3 1 3 3 3 3 3 , Epoch:3, Support: 55
3 3 1 1 1 1 1 , Epoch:3, Support: 55
3 3 1 1 1 1 3 , Epoch:3, Support: 55
3 3 1 1 1 3 1 , Epoch:3, Support: 55
3 3 1 1 1 3 3 , Epoch:3, Support: 55
3 3 1 1 3 1 1 , Epoch:3, Support: 55
3 3 1 1 3 1 3 , Epoch:3, Support: 55
3 3 1 1 3 3 1 , Epoch:3, Support: 55
3 3 1 1 3 3 3 , Epoch:3, Support: 55
3 3 1 3 1 1 1 , Epoch:3, Support: 55
3 3 1 3 1 1 3 , Epoch:3, Support: 55
3 3 1 3 1 3 1 , Epoch:3, Support: 55
3 3 1 3 1 3 3 , Epoch:3, Support: 55
3 3 1 3 3 1 1 , Epoch:3, Support: 55
3 3 1 3 3 1 3 , Epoch:3, Support: 55
3 3 1 3 3 3 3 , Epoch:3, Support: 55
3 3 3 1 1 1 1 , Epoch:3, Support: 55
3 3 3 1 1 1 3 , Epoch:3, Support: 55
3 3 3 1 1 3 1 , Epoch:3, Support: 55
3 3 3 1 1 3 3 , Epoch:3, Support: 55
3 3 3 1 3 1 1 , Epoch:3, Support: 55
3 3 3 1 3 1 3 , Epoch:3, Support: 55
3 3 3 1 3 3 1 , Epoch:3, Support: 55
3 3 3 1 3 3 3 , Epoch:3, Support: 55
3 3 3 3 1 1 1 , Epoch:3, Support: 55
3 3 3 3 1 1 3 , Epoch:3, Support: 55
3 3 3 3 1 3 1 , Epoch:3, Support: 55
3 3 3 3 1 3 3 , Epoch:3, Support: 55
3 3 3 3 3 1 1 , Epoch:3, Support: 55
3 3 3 3 3 1 3 , Epoch:3, Support: 55
3 3 3 3 3 3 1 , Epoch:3, Support: 55
3 3 3 3 3 3 3 , Epoch:3, Support: 7458
3 4 4 4 4 4 , Epoch:4, Support: 60
3 4 4 4 4 4 4 , Epoch:3, Support: 60
3 5 5 5 5 , Epoch:5, Support: 45
3 5 5 5 5 5 , Epoch:4, Support: 45
4 1 1 , Epoch:7, Support: 27
4 1 4 , Epoch:7, Support: 27
4 3 3 3 3 3 , Epoch:4, Support: 60
4 3 3 3 3 4 , Epoch:4, Support: 60
4 3 3 3 4 3 , Epoch:4, Support: 60
4 3 3 3 4 4 , Epoch:4, Support: 60
4 3 3 4 3 3 , Epoch:4, Support: 60
4 3 3 4 4 4 , Epoch:4, Support: 60
4 3 4 3 3 3 , Epoch:4, Support: 60
4 3 4 3 3 4 , Epoch:4, Support: 60
4 3 4 3 4 3 , Epoch:4, Support: 60
4 3 4 4 4 4 , Epoch:4, Support: 60
4 4 1 , Epoch:7, Support: 27
4 4 3 3 3 3 , Epoch:4, Support: 60
4 4 3 3 3 4 , Epoch:4, Support: 60
4 4 3 3 4 3 , Epoch:4, Support: 60
4 4 3 3 4 4 , Epoch:4, Support: 60
4 4 3 4 3 3 , Epoch:4, Support: 60
4 4 3 4 3 4 , Epoch:4, Support: 60
4 4 3 4 4 3 , Epoch:4, Support: 60
4 4 3 4 4 4 , Epoch:4, Support: 60
4 4 4 , Epoch:7, Support: 5232
4 4 4 3 3 3 , Epoch:4, Support: 60
4 4 4 3 3 4 , Epoch:4, Support: 60
4 4 4 3 4 3 , Epoch:4, Support: 60
4 4 4 3 4 4 , Epoch:4, Support: 60
4 4 4 4 3 3 , Epoch:4, Support: 60
4 4 4 4 3 4 , Epoch:4, Support: 60
4 4 4 4 4 3 , Epoch:4, Support: 60
4 4 4 4 4 4 , Epoch:4, Support: 4868
4 4 4 4 4 4 4 4 , Epoch:2, Support: 1358
5 3 3 3 3 , Epoch:5, Support: 45
5 3 3 3 5 , Epoch:5, Support: 45
5 3 3 5 3 , Epoch:5, Support: 45
5 3 3 5 5 , Epoch:5, Support: 45
5 3 5 3 3 , Epoch:5, Support: 45
5 3 5 3 5 , Epoch:5, Support: 45
5 3 5 5 5 , Epoch:5, Support: 45
5 5 3 3 3 , Epoch:5, Support: 45
5 5 3 3 5 , Epoch:5, Support: 45
5 5 3 5 3 , Epoch:5, Support: 45
5 5 3 5 5 , Epoch:5, Support: 45
5 5 5 3 3 , Epoch:5, Support: 45
5 5 5 3 5 , Epoch:5, Support: 45
5 5 5 5 3 , Epoch:5, Support: 45
5 5 5 5 5 , Epoch:5, Support: 2800
10 5 5 5 , Epoch:6, Support: 34
10 5 10 5 , Epoch:6, Support: 34
10 10 5 5 , Epoch:6, Support: 34
10 10 10 , Epoch:0, Support: 302
10 10 10 5 , Epoch:6, Support: 34
