8 3 8, Epoch:5, Support: 21
3 3 8, Epoch:5, Support: 15
8 8 8, Epoch:5, Support: 5172
3 3 3 3 8 3 3 3, Epoch:7, Support: 21
3 3 3 3 3 3 3 3, Epoch:7, Support: 3409
3 3 3 8 8 3 3 3, Epoch:7, Support: 17
5 5 5 5, Epoch:8, Support: 1295
6 6 6 6 2 2 2, Epoch:8, Support: 22
8 9 9 9, Epoch:8, Support: 5
9 9 9 9 9 9 9 9, Epoch:8, Support: 626
6 6 6 6 6 6 6, Epoch:8, Support: 2934
5 2 5, Epoch:8, Support: 10
2 5 5, Epoch:8, Support: 4
5 5 5, Epoch:9, Support: 9532
3 3 3 3 3 3 3 3 5 5, Epoch:9, Support: 7
6 6 6 6 6 6 5 5, Epoch:9, Support: 24
2 2 2 5, Epoch:9, Support: 4
6 6 6 2, Epoch:9, Support: 22
2 5 5 2, Epoch:9, Support: 86
5 5 5 5 5, Epoch:9, Support: 22
3 3 3 3 3 3 3 2 2 2, Epoch:9, Support: 7
10 10 10 10 10 10, Epoch:9, Support: 3117
3 3 3 3 3 3 2 3 2 2, Epoch:9, Support: 23
5 2 5 2 2, Epoch:9, Support: 10
3 3 3 3 3 3 3 5 5 5, Epoch:9, Support: 15
5 5 2 2 2, Epoch:9, Support: 4
8 8 8 2 2 2 2, Epoch:9, Support: 48
9 9 9 9 9 9 9 9 5, Epoch:9, Support: 4
5 5 2, Epoch:9, Support: 4
3 3 3 3 3 3 3 3 3 3, Epoch:9, Support: 6
2 2 3 3, Epoch:9, Support: 12
2 2 5, Epoch:9, Support: 86
2 2 2 2, Epoch:9, Support: 4269
