3 3 3 3 , Epoch:2, Support: 1580
6 6 6 6 , Epoch:0, Support: 352
7 7 7 7 , Epoch:6, Support: 344
8 8 8 , Epoch:7, Support: 1627
8 8 8 8 8 , Epoch:5, Support: 567
9 9 2 2 2 2 2 9 9 , Epoch:1, Support: 8
9 9 2 2 2 2 9 9 9 , Epoch:1, Support: 8
9 9 2 2 2 9 2 9 9 , Epoch:1, Support: 8
9 9 2 2 2 9 9 9 9 , Epoch:1, Support: 8
9 9 2 2 9 2 2 9 9 , Epoch:1, Support: 8
9 9 2 2 9 2 9 9 9 , Epoch:1, Support: 8
9 9 2 2 9 9 9 9 9 , Epoch:1, Support: 8
9 9 2 9 2 2 2 9 9 , Epoch:1, Support: 8
9 9 2 9 2 2 9 9 9 , Epoch:1, Support: 8
9 9 2 9 2 9 2 9 9 , Epoch:1, Support: 8
9 9 2 9 2 9 9 9 9 , Epoch:1, Support: 8
9 9 2 9 9 2 2 9 9 , Epoch:1, Support: 8
9 9 2 9 9 9 9 9 9 , Epoch:1, Support: 8
9 9 9 2 2 2 2 9 9 , Epoch:1, Support: 8
9 9 9 2 2 2 9 9 9 , Epoch:1, Support: 8
9 9 9 2 2 9 2 9 9 , Epoch:1, Support: 8
9 9 9 2 2 9 9 9 9 , Epoch:1, Support: 8
9 9 9 2 9 2 2 9 9 , Epoch:1, Support: 8
9 9 9 2 9 2 9 9 9 , Epoch:1, Support: 8
9 9 9 2 9 9 2 9 9 , Epoch:1, Support: 8
9 9 9 2 9 9 9 9 9 , Epoch:1, Support: 8
9 9 9 9 2 2 2 9 9 , Epoch:1, Support: 8
9 9 9 9 2 2 9 9 9 , Epoch:1, Support: 8
9 9 9 9 2 9 2 9 9 , Epoch:1, Support: 8
9 9 9 9 2 9 9 9 9 , Epoch:1, Support: 8
9 9 9 9 8 8 8 8 8 , Epoch:1, Support: 9
9 9 9 9 8 8 8 8 9 , Epoch:1, Support: 9
9 9 9 9 8 8 8 9 8 , Epoch:1, Support: 9
9 9 9 9 8 8 8 9 9 , Epoch:1, Support: 9
9 9 9 9 8 8 9 8 8 , Epoch:1, Support: 9
9 9 9 9 8 8 9 8 9 , Epoch:1, Support: 9
9 9 9 9 8 8 9 9 8 , Epoch:1, Support: 9
9 9 9 9 8 8 9 9 9 , Epoch:1, Support: 9
9 9 9 9 8 9 8 8 8 , Epoch:1, Support: 9
9 9 9 9 8 9 8 8 9 , Epoch:1, Support: 9
9 9 9 9 8 9 8 9 8 , Epoch:1, Support: 9
9 9 9 9 8 9 8 9 9 , Epoch:1, Support: 9
9 9 9 9 8 9 9 8 8 , Epoch:1, Support: 9
9 9 9 9 8 9 9 8 9 , Epoch:1, Support: 9
9 9 9 9 8 9 9 9 8 , Epoch:1, Support: 9
9 9 9 9 8 9 9 9 9 , Epoch:1, Support: 9
9 9 9 9 9 2 2 9 9 , Epoch:1, Support: 8
9 9 9 9 9 2 9 9 9 , Epoch:1, Support: 8
9 9 9 9 9 8 8 8 8 , Epoch:1, Support: 9
9 9 9 9 9 8 8 8 9 , Epoch:1, Support: 9
9 9 9 9 9 8 8 9 8 , Epoch:1, Support: 9
9 9 9 9 9 8 8 9 9 , Epoch:1, Support: 9
9 9 9 9 9 8 9 8 8 , Epoch:1, Support: 9
9 9 9 9 9 8 9 8 9 , Epoch:1, Support: 9
9 9 9 9 9 8 9 9 8 , Epoch:1, Support: 9
9 9 9 9 9 8 9 9 9 , Epoch:1, Support: 9
9 9 9 9 9 9 2 9 9 , Epoch:1, Support: 8
9 9 9 9 9 9 8 8 8 , Epoch:1, Support: 9
9 9 9 9 9 9 8 8 9 , Epoch:1, Support: 9
9 9 9 9 9 9 8 9 8 , Epoch:1, Support: 9
9 9 9 9 9 9 8 9 9 , Epoch:1, Support: 9
9 9 9 9 9 9 9 8 8 , Epoch:1, Support: 9
9 9 9 9 9 9 9 8 9 , Epoch:1, Support: 9
9 9 9 9 9 9 9 9 8 , Epoch:1, Support: 9
9 9 9 9 9 9 9 9 9 , Epoch:1, Support: 2301
10 10 10 10 10 10 , Epoch:4, Support: 432
