1 1 1 1 1 , Epoch:5, Support: 2808
1 1 3 , Epoch:7, Support: 11
1 3 1 , Epoch:7, Support: 11
1 3 3 , Epoch:7, Support: 11
1 3 3 3 , Epoch:6, Support: 11
2 9 9 9 , Epoch:5, Support: 7
3 1 1 , Epoch:7, Support: 11
3 1 3 , Epoch:7, Support: 11
3 3 1 , Epoch:7, Support: 11
3 3 3 , Epoch:7, Support: 3200
4 4 4 4 4 4 4 4 , Epoch:2, Support: 144
5 1 1 1 1 1 , Epoch:4, Support: 8
5 1 5 1 1 1 , Epoch:4, Support: 8
5 5 1 1 1 1 , Epoch:4, Support: 8
5 5 5 1 1 1 , Epoch:4, Support: 8
5 5 5 3 3 3 , Epoch:4, Support: 11
9 9 9 , Epoch:6, Support: 2976
