1 1 1 1 1 1 1 1 1 , Epoch:1, Support: 2040
3 3 7 , Epoch:7, Support: 13
3 10 10 10 10 , Epoch:4, Support: 32
3 10 10 10 10 10 , Epoch:3, Support: 32
5 5 5 5 , Epoch:6, Support: 340
5 5 7 , Epoch:7, Support: 30
6 3 3 3 , Epoch:5, Support: 7
6 3 6 3 , Epoch:5, Support: 7
6 6 3 3 , Epoch:5, Support: 7
6 6 6 , Epoch:7, Support: 435
6 6 6 3 , Epoch:5, Support: 7
6 6 6 6 6 , Epoch:5, Support: 6
9 9 9 9 9 9 9 9 , Epoch:2, Support: 392
10 1 1 1 1 1 , Epoch:4, Support: 39
10 1 1 1 10 1 , Epoch:4, Support: 39
10 1 1 10 1 1 , Epoch:4, Support: 39
10 1 10 1 1 1 , Epoch:4, Support: 39
10 1 10 1 10 1 , Epoch:4, Support: 39
10 3 10 10 10 , Epoch:4, Support: 32
10 10 1 1 1 1 , Epoch:4, Support: 39
10 10 1 1 10 1 , Epoch:4, Support: 39
10 10 1 10 1 1 , Epoch:4, Support: 39
10 10 1 10 10 1 , Epoch:4, Support: 39
10 10 10 1 1 1 , Epoch:4, Support: 39
10 10 10 1 10 1 , Epoch:4, Support: 39
10 10 10 10 1 1 , Epoch:4, Support: 39
10 10 10 10 10 1 , Epoch:4, Support: 39
10 10 10 10 10 7 , Epoch:4, Support: 45
