3 3 3 3, Epoch:4, Support: 2748
8 3 8, Epoch:4, Support: 11
3 3 3 7, Epoch:4, Support: 21
3 3 8 8, Epoch:4, Support: 8
8 7 8 8, Epoch:6, Support: 48
3 3 3 3 7 7, Epoch:6, Support: 12
3 3 7 7 7 7, Epoch:6, Support: 36
8 7 8 7 7, Epoch:6, Support: 51
8 3 3 8 8, Epoch:6, Support: 8
8 8 8 8 7, Epoch:6, Support: 17
7 3 7 7, Epoch:6, Support: 21
6 8 8, Epoch:6, Support: 8
8 8 6 6 8, Epoch:6, Support: 7
8 8 8 8 8, Epoch:6, Support: 10762
8 8 8 7, Epoch:6, Support: 15
8 7 7 7 8, Epoch:6, Support: 22
3 3 8 3 8 8, Epoch:6, Support: 11
7 7 7 7, Epoch:6, Support: 8746
7 6 7 7, Epoch:6, Support: 15
7 7 6 6, Epoch:6, Support: 14
6 6 6 7 7 7 6, Epoch:6, Support: 15
7 7 7 8, Epoch:6, Support: 9
8 8 8 6 6 6 6, Epoch:8, Support: 8
8 8 6 6 6, Epoch:8, Support: 7
2 2 2 6, Epoch:8, Support: 6
6 6 6 6 6 6 7 7 7, Epoch:8, Support: 26
6 6 6 6 6 6 7 6 6, Epoch:8, Support: 11
6 6 6 6 6 6 6 6 6, Epoch:8, Support: 1305
6 6 6 6 6, Epoch:8, Support: 963
6 6 6 7 6 7, Epoch:8, Support: 15
6 2 6 2 6, Epoch:8, Support: 4
6 2 6 6 2, Epoch:8, Support: 12
6 7 7 6 7, Epoch:8, Support: 14
6 6 6 6 6 6 6 6 2 2, Epoch:9, Support: 6
5 5 2, Epoch:9, Support: 5
7 7 7 7 5 7 5, Epoch:9, Support: 12
2 7 2 7 7, Epoch:9, Support: 13
5 5 7, Epoch:9, Support: 4
7 5 7 5, Epoch:9, Support: 8
8 8 8 2 2 2 2 2, Epoch:9, Support: 32
2 2 2 2 5, Epoch:9, Support: 5
6 2 2 6 2, Epoch:9, Support: 12
6 2 6 2 2, Epoch:9, Support: 4
6 6 6 7, Epoch:9, Support: 26
2 2 2 5 2, Epoch:9, Support: 32
7 7 7 7 7 7 7, Epoch:9, Support: 126
8 8 8 8 8 5 5 5, Epoch:9, Support: 24
2 2 2 7, Epoch:9, Support: 9
7 7 7 5, Epoch:9, Support: 4
6 7 7 7, Epoch:9, Support: 11
7 6 6 6 6 7, Epoch:9, Support: 15
5 7 5, Epoch:9, Support: 12
6 6 6 5 6 5, Epoch:9, Support: 8
7 7 2 7 2 2 2, Epoch:9, Support: 26
8 8 8 8 8 2 2 2, Epoch:9, Support: 52
7 7 7 9, Epoch:9, Support: 32
7 7 7 7 5 5 5, Epoch:9, Support: 28
8 8 8 7 7 7 7, Epoch:9, Support: 7
2 2 2 2 2, Epoch:9, Support: 6578
8 8 8 8 8 7 7 7, Epoch:9, Support: 21
5 5 5, Epoch:9, Support: 3231
8 7 7 7, Epoch:9, Support: 10
7 2 7 2, Epoch:9, Support: 23
7 5 7, Epoch:9, Support: 8
7 7 7 7, Epoch:9, Support: 7209
2 2 5, Epoch:9, Support: 9
2 7 7 7 2, Epoch:9, Support: 9
2 5 2, Epoch:9, Support: 5
2 2 5 2 5, Epoch:9, Support: 5
2 2 7 2 7, Epoch:9, Support: 23
2 2 5 5 2, Epoch:9, Support: 9
5 2 5, Epoch:9, Support: 32
2 7 2 2, Epoch:9, Support: 13
3 3 3 3 2 2 2 2 2, Epoch:9, Support: 10
7 7 5 7, Epoch:9, Support: 12
