1 1 1, Epoch:3, Support: 34
2 2 2 2 2, Epoch:6, Support: 299
3 3 3, Epoch:7, Support: 1237
2 2 2, Epoch:8, Support: 56
1 1 1 1 1 1 1 1 1 1, Epoch:9, Support: 204
4 4 4 4 4 4 4 4, Epoch:10, Support: 1132
8 8 8 8 8 8 8 8, Epoch:11, Support: 259
1 1 1 1, Epoch:12, Support: 84
6 6 6, Epoch:13, Support: 2065
3 3 3, Epoch:14, Support: 594
6 6 6, Epoch:15, Support: 145
9 9 9 9 9 9 9 9 9 9, Epoch:16, Support: 455
4 4 4 4 4 4 4 4 4, Epoch:16, Support: 159
7 7 7 7 7 7 7 7 7, Epoch:18, Support: 118
8 8 8, Epoch:20, Support: 449
3 3 3 3 3 3 3, Epoch:21, Support: 719
8 8 8 8 8 8, Epoch:22, Support: 312
3 3 3 3 3 3 3 3, Epoch:23, Support: 621
10 10 10 10 10 10 10 10 10 10, Epoch:23, Support: 205
7 7 7 7 7 7 7 7 7 6 6 6 6 6 6 6, Epoch:25, Support: 4
6 6 6 6 6 6 6, Epoch:25, Support: 1080
6 6 6 6 6, Epoch:27, Support: 1183
3 3 3 3 3 3, Epoch:29, Support: 47
2 2 2 2 2 2 2 2, Epoch:29, Support: 1555
2 2 2 2 2, Epoch:29, Support: 47
8 8 8 8 8 8 8 8 8 8, Epoch:29, Support: 183
5 5 5, Epoch:29, Support: 182
10 10 10 10 10 10 10 10 10, Epoch:29, Support: 1008
7 7 7 7, Epoch:29, Support: 53
