1 1 1 , Epoch:12, Support: 437
1 4 4 4 4 4 4 4 4 4 , Epoch:20, Support: 6
1 4 4 4 4 4 4 4 4 4 4 , Epoch:19, Support: 6
2 2 2 , Epoch:15, Support: 117
2 2 2 2 2 2 , Epoch:27, Support: 622
2 2 2 2 2 2 2 2 2 2 , Epoch:23, Support: 204
3 3 3 3 3 3 3 , Epoch:9, Support: 144
3 3 3 3 3 3 3 3 , Epoch:21, Support: 1728
3 3 3 3 4 4 , Epoch:23, Support: 4
3 3 4 3 4 4 , Epoch:23, Support: 4
3 4 3 3 4 4 , Epoch:23, Support: 4
3 4 4 3 4 4 , Epoch:23, Support: 4
3 8 8 8 , Epoch:26, Support: 4
3 8 8 8 8 , Epoch:25, Support: 4
3 8 8 8 8 8 , Epoch:24, Support: 4
4 1 1 1 4 4 4 4 4 4 , Epoch:20, Support: 6
4 1 1 4 4 4 4 4 4 4 , Epoch:20, Support: 6
4 1 4 4 4 4 4 4 4 4 , Epoch:20, Support: 6
4 3 3 3 3 3 3 , Epoch:20, Support: 4
4 3 3 3 3 3 3 , Epoch:21, Support: 4
4 3 3 3 3 3 3 , Epoch:22, Support: 5
4 3 3 3 4 3 , Epoch:23, Support: 4
4 3 3 3 4 3 3 , Epoch:20, Support: 4
4 3 3 3 4 3 3 , Epoch:21, Support: 4
4 3 3 3 4 3 3 , Epoch:22, Support: 5
4 3 3 3 4 4 4 , Epoch:20, Support: 4
4 3 3 4 3 3 3 , Epoch:20, Support: 4
4 3 3 4 3 3 3 , Epoch:21, Support: 4
4 3 3 4 3 3 3 , Epoch:22, Support: 5
4 3 3 4 4 3 3 , Epoch:20, Support: 4
4 3 3 4 4 3 3 , Epoch:21, Support: 4
4 3 3 4 4 4 4 , Epoch:20, Support: 4
4 3 4 3 3 3 3 , Epoch:20, Support: 4
4 3 4 3 3 3 3 , Epoch:21, Support: 4
4 3 4 3 3 3 3 , Epoch:22, Support: 5
4 3 4 3 4 3 , Epoch:23, Support: 4
4 3 4 3 4 3 3 , Epoch:20, Support: 4
4 3 4 3 4 3 3 , Epoch:21, Support: 4
4 3 4 3 4 3 3 , Epoch:22, Support: 5
4 3 4 3 4 4 4 , Epoch:20, Support: 4
4 3 4 4 3 3 3 , Epoch:20, Support: 4
4 3 4 4 3 3 3 , Epoch:21, Support: 4
4 3 4 4 4 3 3 , Epoch:20, Support: 4
4 3 4 4 4 3 3 , Epoch:21, Support: 4
4 3 4 4 4 4 4 , Epoch:20, Support: 4
