2 2 2 2 , Epoch:5, Support: 806
3 3 3 3 3 3 , Epoch:2, Support: 558
5 5 5 , Epoch:7, Support: 494
5 5 5 5 5 5 5 5 5 , Epoch:1, Support: 441
6 6 6 6 6 , Epoch:3, Support: 310
6 6 6 6 6 6 , Epoch:4, Support: 180
6 10 10 10 , Epoch:6, Support: 24
6 10 10 10 10 , Epoch:5, Support: 24
7 7 7 7 7 7 7 7 , Epoch:2, Support: 9
9 9 3 3 3 3 3 3 , Epoch:0, Support: 4
9 9 9 3 3 3 3 3 , Epoch:0, Support: 4
10 6 6 6 , Epoch:6, Support: 24
10 6 6 10 , Epoch:6, Support: 24
10 6 10 6 , Epoch:6, Support: 24
10 6 10 10 , Epoch:6, Support: 24
10 10 6 6 , Epoch:6, Support: 24
10 10 6 10 , Epoch:6, Support: 24
10 10 10 6 , Epoch:6, Support: 24
10 10 10 10 , Epoch:6, Support: 396
